name,lat,lon,gmu_id
W Mountain,39.8741508,-107.1372737,25
Dome Peak,39.9895968,-107.0484476,26
Derby Mesa,39.8902634,-107.0350486,25
Middle Mountain,39.8399776,-107.7986796,23
Coulter Mesa,39.7377581,-107.7314539,33
Middle Mountain,39.8483123,-107.6372848,23
Snowdrift Mountain,39.7785908,-107.7353434,33
Little Hill,39.7974794,-107.7197874,33
Clinetop Mesa,39.7510924,-107.4578337,33
Blair Mountain,39.7944257,-107.417556,24
White River Plateau,39.7533151,-107.3814443,24
Fowler Peak,39.8699801,-107.4836687,24
Hunns Peak,39.7880376,-107.3322776,24
Triangle Mountain,39.8155379,-107.2861662,25
Elk Knob,39.86526,-107.2869996,24
Turret Peak,39.8743498,-107.1967499,25
Little Sugarloaf Mountain,39.8335961,-107.0747716,25
Sugarloaf Mountain,39.8224851,-107.0622711,25
Monument Peak,39.7196995,-107.9167385,23
Horse Mountain,39.7155345,-107.8272906,33
Hadley Point,39.6935919,-107.5470017,33
Joe Hill,39.6852587,-107.5370013,33
Spring Hill,39.7052593,-107.4136664,33
Flatiron Mountain,39.6616484,-107.3869992,34
Baxter Peak,39.6744265,-107.3181102,34
Blowout Hill,39.683618,-107.0371529,35
Roan Plateau,39.5849777,-107.9581277,32
Webster Hill,39.505257,-107.8814569,32
Hubbard Mesa,39.5824793,-107.8361782,32
Prefontaine Mesa,39.5427613,-107.79713,32
Weible Peak,39.5249806,-107.6533925,42
Burning Mountain,39.5930362,-107.6056138,33
Horse Mountain,39.5405368,-107.4419982,42
Storm King Mountain,39.5894259,-107.4008876,34
Red Hill,39.6172066,-107.0281025,44
Gobbler Knob,39.5808171,-107.0761596,444
Buck Point,39.5149832,-107.1161608,444
Grassy Mountain,39.4841426,-108.8948264,30
Castle Rock,39.4466441,-108.4389791,31
Mount Logan,39.4016451,-108.1889697,31
Red Pinnacle,39.4505337,-108.2275826,31
Mount Callahan,39.4408115,-108.1164667,32
High Mesa,39.4044226,-108.0381297,42
Garfield Mesa,39.3677557,-108.8326027,30
Garfield Mesa,39.3458116,-108.5867615,30
Corcoran Peak,39.3105343,-108.5087036,31
Redrock Point,39.2691459,-108.4475901,31
Twin Peaks,39.3474786,-108.3453644,31
Castle Rock,39.2849793,-108.2820287,31
Pyramid Rock,39.3085902,-108.2698061,31
Horsethief Mountain,39.2769233,-108.1331333,42
Castle Peak,39.2710898,-108.0945204,421
Horse Mountain,39.3227562,-108.0339623,42
Housetop Mountain,39.3222007,-108.0589635,42
Creek Mesa,39.3535896,-108.1109105,42
Basin Butte,37.2199948,-108.6225934,73
Round Mountain,39.2297019,-108.4548125,31
Mount Lincoln,39.135814,-108.3525861,31
Indian Peak,39.1927574,-108.1353549,421
Black Mountain,39.2160906,-108.176746,421
West Monument,39.220813,-108.2298041,42
Kimbell Mesa,39.2402573,-108.2134145,42
Chalk Mountain,39.1305362,-108.2120249,41
Barney Hill,39.1285915,-108.1786899,41
Place Mesa,39.2035905,-108.118132,421
Round Mountain,39.2352564,-108.0281281,421
Mormon Mesa,39.1724791,-108.0070153,421
Dinkle Hill,39.1766461,-108.0831301,421
The Beehive,39.1658129,-108.1059089,421
Georgia Mesa,39.1574793,-108.0364609,421
Nick Mountain,39.1244239,-108.0109038,421
Riggs Hill,39.0760927,-108.6470409,40
Saddlehorn,39.1023849,-108.7326492,40
Orchard Mesa,39.0341486,-108.5145362,41
Central Orchard Mesa,39.0416485,-108.4589786,41
Whitewater Hill,39.0158154,-108.4892574,40
Horse Mountain,39.0697037,-108.3350851,41
Long Mesa,39.0116488,-108.3345293,41
Holms Mesa,39.4597009,-107.9297921,42
Houston Mountain,39.4113681,-107.8770116,42
Doghead Mountain,39.4147009,-107.9370143,42
Morrisania Mesa,39.4560894,-107.9792386,42
Grass Mesa,39.4688691,-107.7711742,42
Flatiron Mesa,39.45748,-107.7978418,42
Log Mesa,39.4283128,-107.8478438,42
North Mamm Peak,39.3888682,-107.8661777,42
Hunter Mesa,39.4385915,-107.747284,42
Crown Peak,39.4283141,-107.5186653,42
Center Mountain,39.4616476,-107.4775534,42
Sunlight Peak,39.4263707,-107.380331,43
Little Baldy Mountain,39.4174812,-107.4622757,42
Bald Mountain,39.3958148,-107.4275533,42
White Hill,39.3958166,-107.1994957,43
Red Hill,39.4227608,-107.2297746,444
Sugarloaf Mountain,39.351645,-107.9886828,42
Haystack Mountain,39.3733123,-107.9061793,42
South Mamm Peak,39.3713682,-107.8672887,421
Keep Mountain,39.3152576,-107.7811734,421
Little Baldy,37.3211136,-107.7683969,75
Elk Mountain,39.3330352,-107.8150639,421
Bald Mountain,39.3338687,-107.7864515,421
Hightower Mountain,39.2652583,-107.6367243,421
Mud Hill,39.3438692,-107.6964484,421
Reno Mountain,39.2552587,-107.5650558,42
Van Mountain,39.2552588,-107.5372774,42
Mosquito Mountain,39.3263699,-107.510332,42
Flagpole Mountain,39.3358143,-107.5111653,42
Flatiron Mountain,39.3330364,-107.5625556,42
Haystack Mountain,39.2708147,-107.4764427,42
Quaker Mesa,39.268593,-107.4353311,42
Flat Top Mountain,39.2827596,-107.4328311,42
Twin Peaks,39.2999822,-107.3922752,43
Mount Sopris,39.2612136,-107.1647648,43
McCartney Mesa,39.2549847,-107.0642133,43
Bald Mountain,39.1294239,-107.9767357,421
Old Man Mountain,39.1535906,-107.9395123,421
Maigatter Knob,39.1919234,-107.9834034,421
Sugarloaf Peak,39.201646,-107.9036779,421
Red Mountain,39.220257,-107.910345,421
Kansas Mesa,39.2224788,-107.9614583,421
Campbell Mountain,39.2338686,-107.8064517,421
Bronco Knob,39.1527596,-107.6547803,421
Porter Mountain,39.1974811,-107.6586693,421
Two Peak,39.2097029,-107.6878366,421
Baldridge Point,39.2141471,-107.7142261,421
Lenna Peak,39.2324803,-107.6983925,421
Oil Well Mountain,39.168038,-107.5892232,521
Spruce Mountain,39.1972046,-107.5222772,521
Ruth Mountain,39.2227591,-107.5900565,421
Elk Knob,39.2030382,-107.485332,521
Huntsman Mountain,39.1849844,-107.3597746,43
Capitol Peak,39.15021,-107.082727,43
Clark Peak,39.1523922,-107.0610062,43
Mount Daly,39.1722087,-107.0686579,43
Haystack Mountain,39.193875,-107.0656022,43
Horse Mountain,39.096862,-107.9359656,421
Green Mountain,39.0044257,-107.7608934,52
Leon Peak,39.0794249,-107.8439523,421
Doughty Mountain,39.0083152,-107.7278371,52
Mount Hatten,39.0477605,-107.6808919,52
Priest Mountain,39.0427593,-107.7339484,52
Mount Darline,39.0294278,-107.6581137,52
Chalk Mountain,39.1124823,-107.6592248,521
Crater Peak,39.0397054,-107.6631138,52
Electric Mountain,39.0788736,-107.5608896,521
Sheep Mountain,39.0894304,-107.4506096,521
Pilot Knob,39.0116547,-107.4661657,521
Bull Mountain,39.0574873,-107.3958863,521
Chair Mountain,39.0580439,-107.2822728,521
Ragged Peak,39.0366555,-107.2822727,521
Elk Mountain,39.1030432,-107.1981047,43
Mount Daly,39.1032882,-107.1501735,43
Gallo Hill,39.0897102,-107.1997714,43
Hat Mountain,39.0702664,-107.1575483,43
Ragged Mountain,39.0202673,-107.235605,521
Mount Justice,39.014339,-107.1710789,521
Whitehouse Mountain,39.0513779,-107.1542149,43
Snowmass Peak,39.1110787,-107.055905,43
Hagerman Peak,39.1121063,-107.0603299,43
Snowmass Mountain,39.1188405,-107.0664852,43
Mount Richey,39.1174876,-107.1214366,43
Meadow Mountain,39.0999881,-107.1006029,43
Arkansas Mountain,39.0847106,-107.1114364,43
Mineral Point,39.0610727,-107.0873815,43
Little Bear Mountain,39.0474444,-107.1161165,43
Bear Mountain,39.0351573,-107.1116705,43
Treasury Mountain,39.0143331,-107.0990806,43
Crystal Peak,39.0360166,-107.0879915,43
Galena Mountain,39.0227678,-107.0764357,43
Mount Bellview,39.0161014,-107.0167126,55
Sheephorn Mountain,39.9580417,-106.4419763,37
Dora Mountain,39.7849857,-106.2969721,371
Haystack Mountain,39.9144409,-106.2934211,37
Green Mountain,39.8905413,-106.3269729,37
Little Green Mountain,39.8885969,-106.3472512,37
Sheep Mountain,39.8784121,-106.4327353,37
Dice Hill,39.9352639,-106.4389205,37
Slate Mountain,39.7610971,-106.4283638,36
Mount Powell,39.4272093,-106.3400267,45
Eagles Nest,39.7754463,-106.3503379,371
Piney Peak,39.8188751,-106.4975323,361
Old Baldy,39.7588753,-106.019184,28
Ute Peak,39.7858194,-106.0775197,28
Sugarloaf,39.7810974,-106.025851,28
Flat Top,39.8213747,-106.1558562,37
Prairie Mountain,39.8330415,-106.1175213,28
Williams Peak,39.8774856,-106.2058581,28
Battle Mountain,39.9447079,-106.1703011,28
Blue Hill,39.8769312,-106.8405971,35
Black Mountain,39.9869315,-106.6564264,15
Congor Mesa,39.9399871,-106.696149,15
Yarmony Mountain,39.9133202,-106.640314,15
Big Red Hill,39.7572082,-106.9503221,35
Greenhorn Mountain,39.7460974,-106.881986,35
Black Mountain,39.8297086,-106.9128214,35
Castle Peak,39.7723501,-106.8301554,35
West Peak,39.8588753,-106.5475337,36
Cottonwood Peak,39.8474864,-106.5314221,361
Bocco Mountain,39.7208198,-106.7025355,35
Bald Mountain,39.6783192,-106.330028,36
Red Peak,39.6365651,-106.1711834,371
Keller Mountain,39.6899858,-106.2314146,371
Ptarmigan Peak,39.6909054,-106.0263834,28
Suicide Mountain,39.5310951,-106.9692115,44
Red Table Mountain,39.4180407,-106.7711485,444
Coffin Mountain,39.5563739,-106.7867046,44
Adam Mountain,39.5047071,-106.7092023,44
Porphyry Mountain,39.5358185,-106.6786461,44
Horse Mountain,39.5877633,-106.7333695,44
Bellyache Mountain,39.5908189,-106.664757,44
Grouse Mountain,39.5208192,-106.5086423,45
Shrine Mountain,39.5352641,-106.2594704,45
Battle Mountain,39.5635972,-106.3280831,45
Ptarmigan Point,39.5999475,-106.3766063,45
Uneva Peak,39.5572085,-106.1961351,371
Buffalo Mountain,39.616653,-106.1428299,371
Tenmile Peak,39.5360294,-106.1211313,37
Peak 3,39.5283277,-106.1201372,37
Peak 4,39.5216508,-106.1214267,37
Peak 5,39.5147632,-106.116647,37
Swan Mountain,39.5694311,-106.0219622,37
Ophir Mountain,39.5590747,-106.0735231,37
Royal Mountain,39.5681863,-106.110057,37
Peak 1,39.5430537,-106.1199699,37
Joe Davis Hill,37.9491583,-108.827602,711
Buck Knob,37.9966589,-108.6225944,70
Brumley Point,37.8922137,-108.5648155,70
McKenna Peak,37.9049917,-108.5470369,70
Island Mesa,37.9547143,-108.4275874,70
North Mountain,37.9091588,-108.4092536,70
Little Cone,37.9274927,-108.0909058,70
Flat Top Peak,37.881382,-108.1031291,70
Glade Mountain,37.7761015,-108.5878727,711
South Mountain,37.8094364,-108.4559229,711
Flattop Mountain,37.7916594,-108.3184172,71
Groundhog Mountain,37.8349929,-108.2186904,71
Black Mesa,37.7955488,-108.2014676,71
Dunn Peak,37.8474933,-108.1256305,70
Dolores Peak,37.8402712,-108.0964626,71
El Diente Peak,37.8394229,-108.0060074,71
Ormiston Point,37.6577674,-108.6712091,711
Narraguinnep Mountain,37.7183242,-108.556205,711
Elston Mountain,37.6941585,-108.5095365,711
Beaver Mountain,37.7163816,-108.3681417,71
Nipple Mountain,37.7013822,-108.2845271,71
Bald Hill,37.6544377,-108.3286956,71
Taylor Mesa,37.6533279,-108.1517441,71
Johnny Bull Mountain,37.7196134,-108.0902215,71
Calico Peak,37.7102724,-108.0903525,71
