name,lat,lon,gmu,type,elevation
Rattlesnake Butte,40.3122014,-107.0333849,131,peak,2393
Pinnacle Peak,40.3380339,-107.0808862,131,peak,2251
Clinker Knob,40.3494145,-108.0345253,211,peak,2461
Citadel Plateau,40.2980253,-108.182864,11,peak,2370
Wolf Mountain,40.3710803,-108.1667529,11,peak,2275
Cedar Knob,40.4055835,-108.2204031,11,peak,2059
Mellen Hill,40.1580249,-108.9498346,10,peak,1933
Spooky Mountain,40.2094154,-108.8317763,10,peak,1925
Stadtman Mesa,40.1871922,-108.4734297,22,peak,1798
Blair Mountain,40.1463593,-108.3692587,22,peak,2061
Colorow Mountain,40.1821927,-108.1789741,11,peak,2398
Strawberry Peak,40.1802493,-108.0123012,11,peak,2085
Banty Point,40.0399696,-108.9898323,21,peak,1805
Red Hill,40.020808,-108.5800986,21,peak,2312
Buckskin Mesa,40.0699722,-108.0139672,11,peak,1977
The Monument,40.0855274,-108.0586912,11,peak,1998
Sagebrush Hill,39.9133074,-108.553708,22,peak,2337
Miller Hill,39.8849725,-108.2906427,22,peak,1891
Segar Mountain,39.9160846,-108.0103548,22,peak,2473
Joe Bush Mountain,39.8969182,-108.0070212,22,peak,2538
White Face Butte,39.7616387,-109.0317745,21,peak,2139
Texas Mountain,39.7758089,-108.8526038,21,peak,2577
Bald Knob,39.8485854,-108.0078541,22,peak,2405
Twin Buttes,39.6738648,-108.825936,21,peak,2560
Brushy Point,39.7310881,-108.7320451,21,peak,2590
Scare Mountain,39.6727546,-108.7331558,21,peak,2704
Lookout Mountain,39.5427536,-108.8403802,30,peak,2540
Mount Blaine,39.5116439,-108.3398093,31,peak,2456
McAlpin Mountain,40.7402495,-106.9936636,214,peak,2759
Round Mountain,40.6888619,-106.922828,14,peak,2447
Moon Hill,40.6452514,-106.9222727,14,peak,2441
Mount Pau,40.6655289,-106.9225503,14,peak,2481
Mount Candy,40.6677512,-106.9094944,14,peak,2552
Floyd Peak,40.7019181,-106.8047686,14,peak,2870
The Dome,40.6858081,-106.7058763,14,peak,3581
Lost Ranger Peak,40.6902528,-106.6722636,16,peak,3641
Mount Ethel,40.6477535,-106.68032,16,peak,3625
Pitchpine Mountain,40.6783096,-106.5508694,16,peak,2670
Delaney Butte,40.701643,-106.4869778,16,peak,2828
Elk Mountain,40.7160895,-106.0450164,6,peak,2685
Johnny Moore Mountain,40.6402571,-106.0925192,6,peak,2755
Deer Mountain,40.5333088,-106.8964393,214,peak,2258
Elk Mountain,40.5691411,-106.9675519,214,peak,2660
The Sleeping Giant,40.5610856,-106.9728298,214,peak,2637
Rocky Peak,40.579142,-106.8394932,14,peak,2771
Round Mountain,40.5794214,-106.6769873,16,peak,3218
Buffalo Mountain,40.5127551,-106.7364357,14,peak,3165
Horse Thief Peak,40.6146979,-106.7344897,14,peak,3314
Pole Mountain,40.5230362,-106.4819781,16,peak,2814
Custer Mountain,40.5824805,-106.0444625,6,peak,2826
Michigan Hill,40.6144241,-106.0869637,6,peak,2636
Emerald Mountain,40.4619217,-106.850049,131,peak,2515
Howelsen Hill,40.4805325,-106.8406049,131,peak,2186
Mount Werner,40.4560895,-106.7403244,14,peak,3220
Diamond Mountain,40.3847045,-106.5108693,181,peak,2880
White Slide,40.4491471,-106.6011509,16,peak,2904
Rabbit Ears Peak,40.4270683,-106.6110421,16,peak,3166
Harrison Hump,40.4652582,-106.5847612,16,peak,2783
Ironclad Mountain,40.4097042,-106.4433666,17,peak,2854
Little Haystack Mountain,40.3797045,-106.3808647,17,peak,3248
Spicer Peak,40.445537,-106.3961425,17,peak,2920
Red Hill,40.4035929,-106.3200291,17,peak,3491
Aspen Knoll,40.4455367,-106.2761385,17,peak,2697
Buffalo Peak,40.4708142,-106.3447517,17,peak,2880
Thorpe Mountain,40.2997027,-106.9144932,15,peak,2738
Woodchuck Hill,40.2572045,-106.8125457,15,peak,2724
Blacktail Mountain,40.2985922,-106.8411581,15,peak,2645
Walton Peak,40.3544255,-106.6992103,15,peak,3214
Grannys Nipple,40.275817,-106.4583684,181,peak,2511
Middle Carter Mountain,40.2705394,-106.4211449,181,peak,2636
Carter Mountain,40.2994278,-106.4264225,181,peak,2795
Whiteley Peak,40.3180388,-106.4933692,181,peak,3071
Grannys Nightcap,40.3316497,-106.4497565,181,peak,2931
White Slide Mountain,40.327483,-106.398088,181,peak,3309
Red Slide Mountain,40.3352607,-106.3964212,181,peak,3313
Chimney Rock,40.344705,-106.4194775,181,peak,3088
South Ryder Peak,40.3594271,-106.4605899,181,peak,2978
North Ryder Peak,40.3677604,-106.4633677,181,peak,2997
Sheep Mountain,40.3610935,-106.2658609,17,peak,3602
Coal Mountain,40.2591507,-106.3503091,181,peak,2908
Hyannis Peak,40.3585936,-106.312807,17,peak,3540
Parkview Mountain,40.330197,-106.1362778,18,peak,3748
Haystack Mountain,40.3272055,-106.1891917,18,peak,3503
Sheep Mountain,40.3091501,-106.2408604,18,peak,3445
Little Gravel Mountain,40.2569296,-106.0077967,18,peak,3505
Radial Mountain,40.3597059,-106.0519644,171,peak,3426
Devils Grave Mesa,40.1835938,-106.9489373,231,peak,2520
Eagle Rock,40.141373,-106.8736571,15,peak,2634
Simpson Mountain,40.2285942,-106.7933782,15,peak,2465
King Mountain,40.0019314,-106.8583771,26,peak,3088
Tyler Mountain,40.1960955,-106.5186478,27,peak,2857
Gore Mountain,40.2235948,-106.6575409,15,peak,3237
Little Wolford Mountain,40.1327628,-106.3666976,181,peak,2678
Wolford Mountain,40.1180407,-106.3914205,181,peak,2793
Junction Butte,40.0283189,-106.3525296,37,peak,2675
Red Mountain,40.0560965,-106.3441962,181,peak,2418
Searight Mountain,40.2197071,-106.1441904,18,peak,3132
Black Mountain,40.1402628,-106.2064144,18,peak,2895
Slide Mountain,40.1422071,-106.2250262,18,peak,3009
Elk Mountain,40.1619295,-106.1283562,18,peak,3480
Grouse Mountain,40.143874,-106.1636352,18,peak,3161
Pagoda Peak,40.1397017,-107.3333902,12,peak,3388
Old Baldy,40.1877497,-107.9700773,211,peak,2454
Devils Hole Mountain,40.1827504,-107.9003524,211,peak,2646
Coal Butte,40.2016393,-107.8953524,211,peak,2581
Uranium Peak,40.1285861,-107.7031227,23,peak,2846
Sleepy Cat Peak,40.127477,-107.5336727,12,peak,3295
Baldy Mountain,40.1694707,-107.537775,12,peak,2968
Wilson Mesa,40.2058097,-107.5206172,12,peak,2835
Iles Mountain,40.2002535,-107.5928417,12,peak,2687
Scott Hill,40.2169214,-107.4564489,12,peak,2340
Big Sugarloaf Mountain,40.1935882,-107.4708936,12,peak,2669
Upper Sugarloaf Mountain,40.1869215,-107.4753381,12,peak,2776
Horse Mountain,40.1974778,-107.4120034,12,peak,2817
Burro Mountain,40.1838674,-107.3708913,12,peak,2991
Baldy Mountain,40.1235924,-107.2067207,12,peak,2915
Dunckley Flat Tops,40.2269242,-107.2006098,231,peak,3074
Heart Mountain,40.1730381,-107.0069944,231,peak,2567
Bellyache Mountain,40.1449827,-107.0417172,231,peak,2991
Pinnacle Peak,40.2330363,-107.0675515,131,peak,2747
Meeker Dome,40.0416405,-107.8545166,23,peak,2036
Rattlesnake Mesa,40.0738631,-107.7984035,23,peak,2135
Sawmill Mountain,40.0852536,-107.6628432,23,peak,2883
Old Baldy,40.0205337,-107.5303383,24,peak,2594
Ellison Mountain,40.0635879,-107.5970076,23,peak,2798
Sand Peak,40.1155348,-107.3792244,12,peak,3303
Snell Mountain,40.1008129,-107.3586684,24,peak,3197
Himes Peak,40.0008155,-107.2636663,24,peak,3388
Pyramid Peak,40.1220781,-107.1685881,12,peak,3462
Lost Lakes Peaks,40.0574821,-107.2183876,12,peak,3338
Maggies Nipple,40.0822063,-107.0397724,231,peak,3331
Orno Peak,40.0822055,-107.0969959,231,peak,3696
Flat Top Mountain,40.0151423,-107.0835364,26,peak,3766
LO 7 Hill,39.9513633,-107.8925729,23,peak,2600
Burro Mountain,39.8938677,-107.5883946,24,peak,3098
Buford Peak,39.9760893,-107.5542276,24,peak,2940
Camel Peak,39.986646,-107.4692254,24,peak,3057
Timber Mountain,39.8947035,-107.3586673,24,peak,3476
Big Marvine Peak,39.9499813,-107.3408896,24,peak,3614
Shingle Peak,39.901372,-107.2067202,24,peak,3615
W Mountain,39.8741508,-107.1372737,25,peak,3624
Dome Peak,39.9895968,-107.0484476,26,peak,3713
Derby Mesa,39.8902634,-107.0350486,25,peak,2880
Middle Mountain,39.8399776,-107.7986796,23,peak,2810
Coulter Mesa,39.7377581,-107.7314539,33,peak,2799
Middle Mountain,39.8483123,-107.6372848,23,peak,2785
Snowdrift Mountain,39.7785908,-107.7353434,33,peak,2807
Little Hill,39.7974794,-107.7197874,33,peak,2808
Clinetop Mesa,39.7510924,-107.4578337,33,peak,3246
Blair Mountain,39.7944257,-107.417556,24,peak,3492
White River Plateau,39.7533151,-107.3814443,24,peak,3466
Fowler Peak,39.8699801,-107.4836687,24,peak,3185
Hunns Peak,39.7880376,-107.3322776,24,peak,3420
Triangle Mountain,39.8155379,-107.2861662,25,peak,3231
Elk Knob,39.86526,-107.2869996,24,peak,3331
Turret Peak,39.8743498,-107.1967499,25,peak,3498
Little Sugarloaf Mountain,39.8335961,-107.0747716,25,peak,3015
Sugarloaf Mountain,39.8224851,-107.0622711,25,peak,2934
Monument Peak,39.7196995,-107.9167385,23,peak,2796
Horse Mountain,39.7155345,-107.8272906,33,peak,2869
Hadley Point,39.6935919,-107.5470017,33,peak,2761
Joe Hill,39.6852587,-107.5370013,33,peak,2808
Spring Hill,39.7052593,-107.4136664,33,peak,3386
Flatiron Mountain,39.6616484,-107.3869992,34,peak,3297
Baxter Peak,39.6744265,-107.3181102,34,peak,3409
Blowout Hill,39.683618,-107.0371529,35,peak,2648
Roan Plateau,39.5849777,-107.9581277,32,peak,2763
Webster Hill,39.505257,-107.8814569,32,peak,1677
Hubbard Mesa,39.5824793,-107.8361782,32,peak,1959
Prefontaine Mesa,39.5427613,-107.79713,32,peak,1684
Weible Peak,39.5249806,-107.6533925,42,peak,1797
Burning Mountain,39.5930362,-107.6056138,33,peak,2339
Horse Mountain,39.5405368,-107.4419982,42,peak,2516
Storm King Mountain,39.5894259,-107.4008876,34,peak,2675
Red Hill,39.6172066,-107.0281025,44,peak,2483
Gobbler Knob,39.5808171,-107.0761596,444,peak,2530
Buck Point,39.5149832,-107.1161608,444,peak,2708
Grassy Mountain,39.4841426,-108.8948264,30,peak,2077
Castle Rock,39.4466441,-108.4389791,31,peak,2396
Mount Logan,39.4016451,-108.1889697,31,peak,2561
Red Pinnacle,39.4505337,-108.2275826,31,peak,2401
Mount Callahan,39.4408115,-108.1164667,32,peak,2611
High Mesa,39.4044226,-108.0381297,42,peak,1956
Garfield Mesa,39.3677557,-108.8326027,30,peak,1520
Garfield Mesa,39.3458116,-108.5867615,30,peak,2140
Corcoran Peak,39.3105343,-108.5087036,31,peak,2449
Redrock Point,39.2691459,-108.4475901,31,peak,2009
Twin Peaks,39.3474786,-108.3453644,31,peak,2263
Castle Rock,39.2849793,-108.2820287,31,peak,1574
Pyramid Rock,39.3085902,-108.2698061,31,peak,1697
Horsethief Mountain,39.2769233,-108.1331333,42,peak,2390
Castle Peak,39.2710898,-108.0945204,421,peak,2527
Horse Mountain,39.3227562,-108.0339623,42,peak,2833
Housetop Mountain,39.3222007,-108.0589635,42,peak,2532
Creek Mesa,39.3535896,-108.1109105,42,peak,1769
Basin Butte,37.2199948,-108.6225934,73,peak,2169
Round Mountain,39.2297019,-108.4548125,31,peak,2076
Mount Lincoln,39.135814,-108.3525861,31,peak,2021
Indian Peak,39.1927574,-108.1353549,421,peak,1682
Black Mountain,39.2160906,-108.176746,421,peak,2011
West Monument,39.220813,-108.2298041,42,peak,1790
Kimbell Mesa,39.2402573,-108.2134145,42,peak,1843
Chalk Mountain,39.1305362,-108.2120249,41,peak,2466
Barney Hill,39.1285915,-108.1786899,41,peak,2168
Place Mesa,39.2035905,-108.118132,421,peak,1929
Round Mountain,39.2352564,-108.0281281,421,peak,1847
Mormon Mesa,39.1724791,-108.0070153,421,peak,2131
Dinkle Hill,39.1766461,-108.0831301,421,peak,1835
The Beehive,39.1658129,-108.1059089,421,peak,1917
Georgia Mesa,39.1574793,-108.0364609,421,peak,2034
Nick Mountain,39.1244239,-108.0109038,421,peak,2699
Riggs Hill,39.0760927,-108.6470409,40,peak,1496
Saddlehorn,39.1023849,-108.7326492,40,peak,1780
Orchard Mesa,39.0341486,-108.5145362,41,peak,1434
Central Orchard Mesa,39.0416485,-108.4589786,41,peak,1453
Whitewater Hill,39.0158154,-108.4892574,40,peak,1508
Horse Mountain,39.0697037,-108.3350851,41,peak,1821
Long Mesa,39.0116488,-108.3345293,41,peak,1672
Holms Mesa,39.4597009,-107.9297921,42,peak,1974
Houston Mountain,39.4113681,-107.8770116,42,peak,3126
Doghead Mountain,39.4147009,-107.9370143,42,peak,2956
Morrisania Mesa,39.4560894,-107.9792386,42,peak,1843
Grass Mesa,39.4688691,-107.7711742,42,peak,2116
Flatiron Mesa,39.45748,-107.7978418,42,peak,2403
Log Mesa,39.4283128,-107.8478438,42,peak,2721
North Mamm Peak,39.3888682,-107.8661777,42,peak,3280
Hunter Mesa,39.4385915,-107.747284,42,peak,2040
Crown Peak,39.4283141,-107.5186653,42,peak,2431
Center Mountain,39.4616476,-107.4775534,42,peak,2602
Sunlight Peak,39.4263707,-107.380331,43,peak,3223
Little Baldy Mountain,39.4174812,-107.4622757,42,peak,2932
Bald Mountain,39.3958148,-107.4275533,42,peak,3162
White Hill,39.3958166,-107.1994957,43,peak,1929
Red Hill,39.4227608,-107.2297746,444,peak,2136
Sugarloaf Mountain,39.351645,-107.9886828,42,peak,2737
Haystack Mountain,39.3733123,-107.9061793,42,peak,3340
South Mamm Peak,39.3713682,-107.8672887,421,peak,3358
Keep Mountain,39.3152576,-107.7811734,421,peak,2813
Little Baldy,37.3211136,-107.7683969,75,peak,2218
Elk Mountain,39.3330352,-107.8150639,421,peak,3124
Bald Mountain,39.3338687,-107.7864515,421,peak,3151
Hightower Mountain,39.2652583,-107.6367243,421,peak,2901
Mud Hill,39.3438692,-107.6964484,421,peak,2610
Reno Mountain,39.2552587,-107.5650558,42,peak,2976
Van Mountain,39.2552588,-107.5372774,42,peak,2829
Mosquito Mountain,39.3263699,-107.510332,42,peak,3197
Flagpole Mountain,39.3358143,-107.5111653,42,peak,3232
Flatiron Mountain,39.3330364,-107.5625556,42,peak,2500
Haystack Mountain,39.2708147,-107.4764427,42,peak,2762
Quaker Mesa,39.268593,-107.4353311,42,peak,2734
Flat Top Mountain,39.2827596,-107.4328311,42,peak,2894
Twin Peaks,39.2999822,-107.3922752,43,peak,3285
Mount Sopris,39.2612136,-107.1647648,43,peak,3841
McCartney Mesa,39.2549847,-107.0642133,43,peak,2710
Bald Mountain,39.1294239,-107.9767357,421,peak,2795
Old Man Mountain,39.1535906,-107.9395123,421,peak,2624
Maigatter Knob,39.1919234,-107.9834034,421,peak,2089
Sugarloaf Peak,39.201646,-107.9036779,421,peak,2249
Red Mountain,39.220257,-107.910345,421,peak,2369
Kansas Mesa,39.2224788,-107.9614583,421,peak,1917
Campbell Mountain,39.2338686,-107.8064517,421,peak,2682
Bronco Knob,39.1527596,-107.6547803,421,peak,3089
Porter Mountain,39.1974811,-107.6586693,421,peak,3036
Two Peak,39.2097029,-107.6878366,421,peak,2837
Baldridge Point,39.2141471,-107.7142261,421,peak,2782
