name,lat,lon,type,elevation,osm_id,osm_type,source,gmu
Iron Mountain,40.8577473,-106.9889402,peak,2952,358906931,node,openstreetmap,5
Lester Mountain,40.7752496,-106.8981044,peak,2686,358906935,node,openstreetmap,14
Grouse Mountain,40.8110822,-106.9056043,peak,2825,358906938,node,openstreetmap,14
Twin Mountain,40.8410816,-106.9092153,peak,2686,358906940,node,openstreetmap,14
Little Mountain,40.8283038,-106.9361609,peak,2889,358906943,node,openstreetmap,14
Anderson Mountain,40.826915,-106.922827,peak,2800,358906945,node,openstreetmap,14
Beryl Mountain,40.8316372,-106.9219936,peak,2835,358906947,node,openstreetmap,14
Cap Smith Hill,40.8319145,-106.9767178,peak,2612,358906950,node,openstreetmap,14
Nipple Peak,40.8727468,-107.0381082,peak,3152,358906952,node,openstreetmap,5
Dome Peak,40.8741373,-106.8208785,peak,3138,358906954,node,openstreetmap,5
Farwell Mountain,40.824138,-106.8489355,peak,3309,358906957,node,openstreetmap,14
West Bears Ears Peak,40.7774546,-107.2492571,peak,3224,358906959,node,openstreetmap,4
Saddle Mountain,40.7996924,-107.1528336,peak,3029,358906962,node,openstreetmap,4
Sugar Loaf Mountain,40.7833037,-107.1839455,peak,2974,358906964,node,openstreetmap,4
Diamond Mountain,40.732462,-108.9534515,peak,2598,358906969,node,openstreetmap,1
Douglas Mountain,40.6330194,-108.8595589,peak,2637,358906972,node,openstreetmap,2
Offield Mountain,40.6832957,-108.9562292,peak,2491,358906977,node,openstreetmap,1
Dry Knob,40.6463539,-108.687053,peak,1972,358906979,node,openstreetmap,2
Vermillion Mesa,40.7013536,-108.6826087,peak,1971,358906984,node,openstreetmap,2
Dry Mountain,40.7138544,-108.55816,peak,2238,358906986,node,openstreetmap,2
Allred Peak,40.5269108,-108.5559363,peak,2429,358906992,node,openstreetmap,2
Chase Hill,40.5652439,-108.5734372,peak,1999,358906995,node,openstreetmap,2
Bill Weller Mesa,40.5644105,-108.5842709,peak,2032,358906997,node,openstreetmap,2
Limestone Hill,40.5713549,-108.5970492,peak,2085,358906999,node,openstreetmap,2
Smelter Hill,40.5760768,-108.6437176,peak,2047,358907002,node,openstreetmap,2
Reds Knob,40.5444095,-108.7812224,peak,2353,358907004,node,openstreetmap,2
Zenobia Peak,40.6069083,-108.8701146,peak,2741,358907007,node,openstreetmap,2
Jenny Lind Rock,40.5269083,-108.9792846,peak,1812,358907009,node,openstreetmap,10
Monument Hill,40.6388556,-108.3881528,peak,1802,358907011,node,openstreetmap,2
Lone Mountain,40.5760777,-108.4709334,peak,2034,358907014,node,openstreetmap,2
Pigpen Hill,40.6624663,-108.4503777,peak,1928,358907016,node,openstreetmap,2
Clay Buttes,40.7069106,-108.4414888,peak,1910,358907021,node,openstreetmap,2
Yellow Cat Butte,40.7471886,-108.3381515,peak,1923,358907023,node,openstreetmap,2
Peck Mesa,40.5435784,-108.3331498,peak,1941,358907026,node,openstreetmap,11
Ninemile Hill,40.7110782,-108.1864782,peak,1849,358907030,node,openstreetmap,3
Bald Mountain,40.6838564,-108.1195308,peak,2203,358907033,node,openstreetmap,3
Lucas Hill,40.6474679,-108.0770289,peak,1930,358907035,node,openstreetmap,3
Hat Hill,40.6141349,-108.035638,peak,2018,358907040,node,openstreetmap,3
Schoonover Buttes,40.4799659,-108.7770551,peak,1906,358907045,node,openstreetmap,10
Cleopatras Couch,40.4805209,-108.8573356,peak,1759,358907049,node,openstreetmap,2
Marthas Peak,40.441077,-108.8703912,peak,2527,358907054,node,openstreetmap,10
Tanks Peak,40.4258005,-108.765943,peak,2651,358907059,node,openstreetmap,10
Hospital Hill,40.4735762,-108.9028927,peak,1598,358907069,node,openstreetmap,2
Red Rock Bench,40.4619094,-108.9331714,peak,1891,358907072,node,openstreetmap,10
Round Top Mountain,40.4416322,-108.9173374,peak,2614,358907074,node,openstreetmap,10
Buena Vista Peak,40.4407987,-108.9251153,peak,2613,358907077,node,openstreetmap,10
Plug Hat Rock,40.2895532,-108.9733437,peak,2132,358907085,node,openstreetmap,10
Wapiti Peak,40.3738576,-108.2809241,peak,2356,358907091,node,openstreetmap,11
Twelvemile Mesa,40.4005237,-108.3878729,peak,2084,358907094,node,openstreetmap,10
Lone Mountain,40.3319136,-108.7045509,peak,2346,358907108,node,openstreetmap,10
Moose Head Mountain,40.317468,-108.864001,peak,2588,358907113,node,openstreetmap,10
Juniper Mountain,40.4494137,-108.0295258,peak,2394,358907128,node,openstreetmap,211
M F Mountain,40.3716349,-108.5642683,peak,2010,358907130,node,openstreetmap,10
Escarpment Peak,40.2980256,-108.1278619,peak,2403,358907149,node,openstreetmap,11
Coal Mountain,40.3183036,-108.0445255,peak,2526,358907151,node,openstreetmap,211
Kirchnary Butte,40.8949852,-103.287707,peak,1389,358907156,node,openstreetmap,89
Molly and Mable,40.8866517,-103.3435421,peak,1332,358907158,node,openstreetmap,89
Billy Goat Hill,40.9838731,-103.4988244,peak,1431,358907161,node,openstreetmap,89
The Rocks,40.9355399,-103.4518787,peak,1367,358907163,node,openstreetmap,89
Dipper Hill,40.9105398,-103.5482708,peak,1408,358907175,node,openstreetmap,89
Earthlodge Rock,40.9672329,-104.5777381,peak,1761,358907217,node,openstreetmap,87
Round Butte,40.9152619,-105.0488624,peak,1844,358907232,node,openstreetmap,9
East Pawnee Butte,40.8235845,-103.9690401,peak,1573,358907257,node,openstreetmap,88
Wildhorse Tit,40.7949812,-104.5716271,peak,1663,358907262,node,openstreetmap,87
Cedar Hill,40.6744148,-107.4261738,peak,2147,358907267,node,openstreetmap,4
Little Buck Mountain,40.7308027,-107.4786754,peak,2467,358907270,node,openstreetmap,4
Pinnacle Mountain,40.6991372,-107.3797838,peak,2517,358907274,node,openstreetmap,4
McInturf Mesa,40.7194147,-107.3867285,peak,2502,358907277,node,openstreetmap,4
Baldy Peak,40.7374712,-107.2464471,peak,2743,358907279,node,openstreetmap,4
Quaker Mountain,40.6963607,-107.1606118,peak,2844,358907282,node,openstreetmap,441
Bull Hill,40.6419168,-107.1786678,peak,2355,358907286,node,openstreetmap,441
Slide Mountain,40.7199709,-107.3108932,peak,2729,358907291,node,openstreetmap,4
Buck Mountain,40.6774713,-107.3175599,peak,2409,358907299,node,openstreetmap,4
Round Mountain,40.6580282,-107.063943,peak,2641,358907307,node,openstreetmap,214
Pilot Knob,40.6508059,-107.1019994,peak,3001,358907311,node,openstreetmap,214
Buck Mountain,40.6871946,-107.0089417,peak,2697,358907315,node,openstreetmap,214
Picket Mountain,40.7163608,-107.0167197,peak,2804,358907318,node,openstreetmap,214
Saddle Mountain,40.7483048,-107.0267199,peak,2802,358907323,node,openstreetmap,214
Sevenmile Hill,40.5213596,-107.6778472,peak,2046,358907326,node,openstreetmap,301
Lay Peak,40.503303,-107.8906322,peak,2027,358907331,node,openstreetmap,301
Sugarloaf Peak,40.5560802,-107.9275782,peak,2015,358907335,node,openstreetmap,3
Slippery Sides Mountain,40.5613628,-107.0631097,peak,2541,358907338,node,openstreetmap,214
Cedar Mountain,40.5766371,-107.6086787,peak,2287,358907444,node,openstreetmap,301
Signal Butte,40.4413595,-107.8542415,peak,1985,358907454,node,openstreetmap,211
Little Juniper Mountain,40.4755249,-107.9923023,peak,2027,358907465,node,openstreetmap,3
Rattlesnake Butte,40.5735851,-107.0181087,peak,2241,358907477,node,openstreetmap,214
Sand Mountain,40.5519183,-107.0878324,peak,2507,358907493,node,openstreetmap,214
Wolf Mountain,40.5808067,-107.1203332,peak,2785,358907499,node,openstreetmap,214
Hillberry Mountain,40.4091426,-107.2147787,peak,2334,358907523,node,openstreetmap,13
Windy Point,40.4344263,-106.1514119,peak,2659,358907525,node,openstreetmap,17
Buck Peak,40.4449729,-107.4625623,peak,2271,358907545,node,openstreetmap,13
Breeze Mountain,40.4858054,-107.4736741,peak,2127,358907547,node,openstreetmap,13
Gnat Hill,40.4544178,-107.3881163,peak,2174,358907552,node,openstreetmap,13
Thompson Hill,40.4791384,-107.5575652,peak,1979,358907556,node,openstreetmap,13
Saddle Mountain,40.4799757,-106.9861634,peak,2162,358907561,node,openstreetmap,131
Monument Butte,40.2983073,-107.662567,peak,2201,358907567,node,openstreetmap,12
Mount Streeter,40.265251,-107.799238,peak,2175,358907572,node,openstreetmap,211
Maggies Nipple,40.3333041,-107.9714672,peak,2267,358907574,node,openstreetmap,211
Daton Peak,40.3355313,-107.3956153,peak,2156,358907589,node,openstreetmap,13
Round Mountain,40.2566435,-107.4300597,peak,2382,358907596,node,openstreetmap,12
Harper Hill,40.351363,-107.5347857,peak,2308,358907606,node,openstreetmap,12
Rattlesnake Butte,40.3122014,-107.0333849,peak,2393,358907610,node,openstreetmap,131
Pinnacle Peak,40.3380339,-107.0808862,peak,2251,358907614,node,openstreetmap,131
Clinker Knob,40.3494145,-108.0345253,peak,2461,358907630,node,openstreetmap,211
Citadel Plateau,40.2980253,-108.182864,peak,2370,358907633,node,openstreetmap,11
Wolf Mountain,40.3710803,-108.1667529,peak,2275,358907636,node,openstreetmap,11
Cedar Knob,40.4055835,-108.2204031,peak,2059,358907638,node,openstreetmap,11
Mellen Hill,40.1580249,-108.9498346,peak,1933,358907643,node,openstreetmap,10
Spooky Mountain,40.2094154,-108.8317763,peak,1925,358907675,node,openstreetmap,10
Stadtman Mesa,40.1871922,-108.4734297,peak,1798,358907731,node,openstreetmap,22
Blair Mountain,40.1463593,-108.3692587,peak,2061,358907733,node,openstreetmap,22
Colorow Mountain,40.1821927,-108.1789741,peak,2398,358907736,node,openstreetmap,11
Strawberry Peak,40.1802493,-108.0123012,peak,2085,358907752,node,openstreetmap,11
Banty Point,40.0399696,-108.9898323,peak,1805,358907758,node,openstreetmap,21
Red Hill,40.020808,-108.5800986,peak,2312,358907768,node,openstreetmap,21
Buckskin Mesa,40.0699722,-108.0139672,peak,1977,358907775,node,openstreetmap,11
The Monument,40.0855274,-108.0586912,peak,1998,358907777,node,openstreetmap,11
Sagebrush Hill,39.9133074,-108.553708,peak,2337,358907804,node,openstreetmap,22
Miller Hill,39.8849725,-108.2906427,peak,1891,358907809,node,openstreetmap,22
Segar Mountain,39.9160846,-108.0103548,peak,2473,358907814,node,openstreetmap,22
Joe Bush Mountain,39.8969182,-108.0070212,peak,2538,358907816,node,openstreetmap,22
White Face Butte,39.7616387,-109.0317745,peak,2139,358907818,node,openstreetmap,21
Texas Mountain,39.7758089,-108.8526038,peak,2577,358907839,node,openstreetmap,21
Bald Knob,39.8485854,-108.0078541,peak,2405,358907852,node,openstreetmap,22
Twin Buttes,39.6738648,-108.825936,peak,2560,358907854,node,openstreetmap,21
Brushy Point,39.7310881,-108.7320451,peak,2590,358907857,node,openstreetmap,21
Scare Mountain,39.6727546,-108.7331558,peak,2704,358907863,node,openstreetmap,21
Lookout Mountain,39.5427536,-108.8403802,peak,2540,358907867,node,openstreetmap,30
Mount Blaine,39.5116439,-108.3398093,peak,2456,358907891,node,openstreetmap,31
McAlpin Mountain,40.7402495,-106.9936636,peak,2759,358907908,node,openstreetmap,214
Round Mountain,40.6888619,-106.922828,peak,2447,358907911,node,openstreetmap,14
Moon Hill,40.6452514,-106.9222727,peak,2441,358907916,node,openstreetmap,14
Mount Pau,40.6655289,-106.9225503,peak,2481,358907918,node,openstreetmap,14
Mount Candy,40.6677512,-106.9094944,peak,2552,358907921,node,openstreetmap,14
Floyd Peak,40.7019181,-106.8047686,peak,2870,358907923,node,openstreetmap,14
The Dome,40.6858081,-106.7058763,peak,3581,358907925,node,openstreetmap,14
Lost Ranger Peak,40.6902528,-106.6722636,peak,3641,358907928,node,openstreetmap,16
Mount Ethel,40.6477535,-106.68032,peak,3625,358907931,node,openstreetmap,16
Pitchpine Mountain,40.6783096,-106.5508694,peak,2670,358907933,node,openstreetmap,16
Delaney Butte,40.701643,-106.4869778,peak,2828,358907940,node,openstreetmap,16
Elk Mountain,40.7160895,-106.0450164,peak,2685,358907972,node,openstreetmap,6
Johnny Moore Mountain,40.6402571,-106.0925192,peak,2755,358907975,node,openstreetmap,6
Deer Mountain,40.5333088,-106.8964393,peak,2258,358907977,node,openstreetmap,214
Elk Mountain,40.5691411,-106.9675519,peak,2660,358907997,node,openstreetmap,214
The Sleeping Giant,40.5610856,-106.9728298,peak,2637,358908003,node,openstreetmap,214
Rocky Peak,40.579142,-106.8394932,peak,2771,358908005,node,openstreetmap,14
Round Mountain,40.5794214,-106.6769873,peak,3218,358908007,node,openstreetmap,16
Buffalo Mountain,40.5127551,-106.7364357,peak,3165,358908009,node,openstreetmap,14
Horse Thief Peak,40.6146979,-106.7344897,peak,3314,358908011,node,openstreetmap,14
Pole Mountain,40.5230362,-106.4819781,peak,2814,358908025,node,openstreetmap,16
Custer Mountain,40.5824805,-106.0444625,peak,2826,358908048,node,openstreetmap,6
Michigan Hill,40.6144241,-106.0869637,peak,2636,358908055,node,openstreetmap,6
Emerald Mountain,40.4619217,-106.850049,peak,2515,358908060,node,openstreetmap,131
Howelsen Hill,40.4805325,-106.8406049,peak,2186,358908063,node,openstreetmap,131
Mount Werner,40.4560895,-106.7403244,peak,3220,358908072,node,openstreetmap,14
Diamond Mountain,40.3847045,-106.5108693,peak,2880,358908078,node,openstreetmap,181
White Slide,40.4491471,-106.6011509,peak,2904,358908081,node,openstreetmap,16
Rabbit Ears Peak,40.4270683,-106.6110421,peak,3166,358908085,node,openstreetmap,16
Harrison Hump,40.4652582,-106.5847612,peak,2783,358908088,node,openstreetmap,16
Ironclad Mountain,40.4097042,-106.4433666,peak,2854,358908103,node,openstreetmap,17
Little Haystack Mountain,40.3797045,-106.3808647,peak,3248,358908106,node,openstreetmap,17
Spicer Peak,40.445537,-106.3961425,peak,2920,358908116,node,openstreetmap,17
Red Hill,40.4035929,-106.3200291,peak,3491,358908122,node,openstreetmap,17
Aspen Knoll,40.4455367,-106.2761385,peak,2697,358908136,node,openstreetmap,17
Buffalo Peak,40.4708142,-106.3447517,peak,2880,358908144,node,openstreetmap,17
Thorpe Mountain,40.2997027,-106.9144932,peak,2738,358908165,node,openstreetmap,15
Woodchuck Hill,40.2572045,-106.8125457,peak,2724,358908176,node,openstreetmap,15
Blacktail Mountain,40.2985922,-106.8411581,peak,2645,358908179,node,openstreetmap,15
Walton Peak,40.3544255,-106.6992103,peak,3214,358908182,node,openstreetmap,15
Grannys Nipple,40.275817,-106.4583684,peak,2511,358908208,node,openstreetmap,181
Middle Carter Mountain,40.2705394,-106.4211449,peak,2636,358908214,node,openstreetmap,181
Carter Mountain,40.2994278,-106.4264225,peak,2795,358908217,node,openstreetmap,181
Whiteley Peak,40.3180388,-106.4933692,peak,3071,358908218,node,openstreetmap,181
Grannys Nightcap,40.3316497,-106.4497565,peak,2931,358908220,node,openstreetmap,181
White Slide Mountain,40.327483,-106.398088,peak,3309,358908223,node,openstreetmap,181
Red Slide Mountain,40.3352607,-106.3964212,peak,3313,358908225,node,openstreetmap,181
Chimney Rock,40.344705,-106.4194775,peak,3088,358908228,node,openstreetmap,181
South Ryder Peak,40.3594271,-106.4605899,peak,2978,358908230,node,openstreetmap,181
North Ryder Peak,40.3677604,-106.4633677,peak,2997,358908232,node,openstreetmap,181
Sheep Mountain,40.3610935,-106.2658609,peak,3602,358908235,node,openstreetmap,17
Coal Mountain,40.2591507,-106.3503091,peak,2908,358908237,node,openstreetmap,181
Hyannis Peak,40.3585936,-106.312807,peak,3540,358908242,node,openstreetmap,17
Parkview Mountain,40.330197,-106.1362778,peak,3748,358908244,node,openstreetmap,18
Haystack Mountain,40.3272055,-106.1891917,peak,3503,358908246,node,openstreetmap,18
Sheep Mountain,40.3091501,-106.2408604,peak,3445,358908248,node,openstreetmap,18
Little Gravel Mountain,40.2569296,-106.0077967,peak,3505,358908250,node,openstreetmap,18
Radial Mountain,40.3597059,-106.0519644,peak,3426,358908252,node,openstreetmap,171
Devils Grave Mesa,40.1835938,-106.9489373,peak,2520,358908259,node,openstreetmap,231
Eagle Rock,40.141373,-106.8736571,peak,2634,358908262,node,openstreetmap,15
Simpson Mountain,40.2285942,-106.7933782,peak,2465,358908264,node,openstreetmap,15
King Mountain,40.0019314,-106.8583771,peak,3088,358908274,node,openstreetmap,26
Tyler Mountain,40.1960955,-106.5186478,peak,2857,358908300,node,openstreetmap,27
Gore Mountain,40.2235948,-106.6575409,peak,3237,358908305,node,openstreetmap,15
Little Wolford Mountain,40.1327628,-106.3666976,peak,2678,358908309,node,openstreetmap,181
Wolford Mountain,40.1180407,-106.3914205,peak,2793,358908312,node,openstreetmap,181
Junction Butte,40.0283189,-106.3525296,peak,2675,358908322,node,openstreetmap,37
Red Mountain,40.0560965,-106.3441962,peak,2418,358908327,node,openstreetmap,181
Searight Mountain,40.2197071,-106.1441904,peak,3132,358908330,node,openstreetmap,18
Black Mountain,40.1402628,-106.2064144,peak,2895,358908332,node,openstreetmap,18
Slide Mountain,40.1422071,-106.2250262,peak,3009,358908334,node,openstreetmap,18
Elk Mountain,40.1619295,-106.1283562,peak,3480,358908337,node,openstreetmap,18
Grouse Mountain,40.143874,-106.1636352,peak,3161,358908339,node,openstreetmap,18
Pagoda Peak,40.1397017,-107.3333902,peak,3388,358908341,node,openstreetmap,12
Old Baldy,40.1877497,-107.9700773,peak,2454,358908347,node,openstreetmap,211
Devils Hole Mountain,40.1827504,-107.9003524,peak,2646,358908349,node,openstreetmap,211
Coal Butte,40.2016393,-107.8953524,peak,2581,358908352,node,openstreetmap,211
Uranium Peak,40.1285861,-107.7031227,peak,2846,358908360,node,openstreetmap,23
Sleepy Cat Peak,40.127477,-107.5336727,peak,3295,358908368,node,openstreetmap,12
Baldy Mountain,40.1694707,-107.537775,peak,2968,358908382,node,openstreetmap,12
Wilson Mesa,40.2058097,-107.5206172,peak,2835,358908409,node,openstreetmap,12
Iles Mountain,40.2002535,-107.5928417,peak,2687,358908412,node,openstreetmap,12
Scott Hill,40.2169214,-107.4564489,peak,2340,358908414,node,openstreetmap,12
Big Sugarloaf Mountain,40.1935882,-107.4708936,peak,2669,358908417,node,openstreetmap,12
Upper Sugarloaf Mountain,40.1869215,-107.4753381,peak,2776,358908419,node,openstreetmap,12
Horse Mountain,40.1974778,-107.4120034,peak,2817,358908421,node,openstreetmap,12
Burro Mountain,40.1838674,-107.3708913,peak,2991,358908424,node,openstreetmap,12
Baldy Mountain,40.1235924,-107.2067207,peak,2915,358908438,node,openstreetmap,12
Dunckley Flat Tops,40.2269242,-107.2006098,peak,3074,358908440,node,openstreetmap,231
Heart Mountain,40.1730381,-107.0069944,peak,2567,358908445,node,openstreetmap,231
